,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2015,1,0.901123596,2.024719101,1.303370787,1.370786517,1.13258427,1.101123596,0.91011236,1.101123596,0.943820225,1.146067416,1.393258427
2016,1.319101124,1.101123596,2.056179775,1.95505618,1.516853933,0.93258427,1.056179775,0.97752809,1.134831461,0.93258427,1.029213483,1.191011236
2017,1.168539326,1.06741573,2.112359551,1.404494382,1.460674157,1.08988764,0.943820225,1.235955056,1.213483146,1.112359551,1.179775281,1.262921348
